,pose_name_l3,pose_name_alt_l3,pose_name_l2,pose_name_l1,image_shape,channel_B_pixel_mean,channel_G_pixel_mean,channel_R_pixel_mean,channel_B_pixel_std,channel_G_pixel_std,channel_R_pixel_std,channel_B_pixel_min,channel_G_pixel_min,channel_R_pixel_min,channel_B_pixel_max,channel_G_pixel_max,channel_R_pixel_max,image_path
10,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(934, 1600, 3)",78.2848982869379,133.54899959850107,121.44272550856532,77.42793826295085,61.06136456254996,65.25901577048835,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/10.jpeg
11,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(499, 363, 3)",122.87559692387529,126.04486107200627,143.85497165129158,36.705277421643835,34.716994064413136,45.55812926317751,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/11.jpeg
12,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(360, 480, 3)",144.15527777777777,149.1241261574074,163.47730324074075,108.24951211256347,110.08616387084665,109.27213922488681,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/12.jpeg
13,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(505, 768, 3)",218.92090810643563,219.36232982673266,221.3021967821782,36.94832053290881,33.99653331034522,31.10432155555838,42.0,44.0,44.0,255.0,255.0,255.0,./data/loaded/13.jpeg
14,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(360, 480, 3)",67.60969907407407,94.3659201388889,125.24201388888889,47.78894515066374,63.28131139703002,88.69576971790514,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/14.jpeg
15,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(271, 190, 3)",137.32897650029133,156.40213633715285,186.7293260827345,77.51566897742735,84.90247857071104,72.64937473375778,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/15.jpeg
16,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(720, 1280, 3)",59.207698567708334,75.15308376736111,117.71578884548612,55.20394397231392,56.021399570980215,60.25066128412339,0.0,0.0,1.0,255.0,255.0,255.0,./data/loaded/16.jpeg
17,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(360, 480, 3)",98.36560763888889,98.49276620370371,129.41770833333334,68.447931726786,75.68135545438476,88.64305749709588,0.0,0.0,0.0,233.0,255.0,255.0,./data/loaded/17.jpeg
18,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(1024, 1024, 3)",181.62264728546143,179.5784797668457,184.67115783691406,66.3264583306959,63.37967987946782,59.301250664906796,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/18.jpeg
19,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(300, 400, 3)",109.28545,107.39045,100.70973333333333,74.21491270827917,56.93393260728468,61.82183901013909,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/19.jpeg
20,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(240, 360, 3)",96.84266203703703,109.26064814814815,108.91690972222223,47.904594511601566,44.26269594543109,46.06208527815914,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/20.jpeg
21,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(320, 640, 3)",121.4627294921875,124.9182373046875,128.686923828125,63.04898693466353,60.96210576477584,60.593411316985225,0.0,0.0,0.0,243.0,234.0,231.0,./data/loaded/21.jpeg
22,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(640, 640, 3)",237.30119140625,239.1281005859375,245.93185546875,58.76097106294482,55.40984897721146,42.96442017815132,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/22.jpeg
23,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(517, 537, 3)",111.85952476146224,130.8064611405869,142.65139088495798,89.11307711517563,75.07460667398426,69.70539471646966,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/23.jpeg
24,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(1600, 1600, 3)",99.9780359375,109.480065234375,136.974599609375,48.13995395509542,54.64118373202004,67.51667565237703,0.0,0.0,0.0,244.0,248.0,255.0,./data/loaded/24.jpeg
25,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(640, 640, 3)",240.14933837890624,241.975419921875,247.37119140625,53.2653309274457,49.87534981197259,39.24892862971614,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/25.jpeg
26,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(640, 640, 3)",237.25943603515626,239.046708984375,246.0379345703125,58.64992627967772,55.04733940966881,42.801944483789235,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/26.jpeg
27,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(525, 525, 3)",203.4596462585034,204.31986213151927,224.8745142857143,85.14643468387857,86.02949428982659,63.77863203400619,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/27.jpeg
28,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(155, 155, 3)",168.33323621227888,172.34393340270552,180.32757544224765,91.13970433904599,92.89530411528854,90.57771247464362,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/28.jpeg
29,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(640, 640, 3)",237.27077880859375,239.1060107421875,246.2372314453125,58.6089838249151,55.155960312658905,42.05343142108894,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/29.jpeg
30,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(1600, 776, 3)",164.0949105992268,168.0904743878866,175.1099637564433,103.99312590597488,102.63441371360231,98.40588669072858,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/30.jpeg
31,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(678, 1024, 3)",56.83099275212021,86.68743086283186,107.56308622557154,74.65157789251295,71.35424562089908,70.15081542214975,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/31.jpeg
32,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(720, 1280, 3)",78.03006944444445,84.57257052951388,101.16248155381945,50.603097185714276,57.77678658931882,67.01938102739398,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/32.jpeg
33,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(300, 400, 3)",66.32830833333334,102.03235833333333,126.0649,45.53506585008522,50.17941986450485,56.64582380596708,0.0,0.0,0.0,249.0,250.0,255.0,./data/loaded/33.jpeg
34,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(400, 650, 3)",237.55741923076923,236.18603846153846,236.4563346153846,45.744775438895914,48.67224360334272,52.59939207995031,0.0,8.0,0.0,255.0,255.0,255.0,./data/loaded/34.jpeg
35,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(600, 1280, 3)",55.01321223958333,79.229203125,94.19651171875,42.613923795139726,51.84828219882658,53.65739174740025,0.0,0.0,1.0,150.0,171.0,181.0,./data/loaded/35.jpeg
36,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(2448, 2448, 3)",134.27398049361358,123.48687520691828,112.30329647518049,75.24635702116798,68.70413104672365,68.2321431355762,0.0,0.0,0.0,255.0,253.0,253.0,./data/loaded/36.jpeg
37,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(450, 600, 3)",207.30190370370372,212.07567407407407,224.51415925925926,73.07223018715153,66.29304985154702,55.19522643977105,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/37.jpeg
38,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(248, 216, 3)",190.06072655316606,191.22384632616487,198.44840203106332,69.49879228047521,65.14962887364926,58.4247375571114,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/38.jpeg
39,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(810, 720, 3)",113.06249314128944,120.51986454046639,125.9657596021948,51.13962932878723,64.9632374918882,71.56883282105031,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/39.jpeg
40,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(480, 481, 3)",107.29481115731116,119.21911382536382,166.21835152460153,65.21974142558838,54.33317577046997,70.04940747338709,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/40.jpeg
41,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(133, 156, 3)",186.40582224792752,196.51243493348755,169.11644495855023,41.75027603849069,37.708828472073,37.51722993991657,8.0,19.0,14.0,255.0,255.0,255.0,./data/loaded/41.jpeg
42,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(360, 480, 3)",60.69543402777778,119.62730902777778,116.46151041666667,68.3259042369733,90.9443967834211,88.10021867240768,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/42.jpeg
43,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(960, 636, 3)",89.4380060927673,89.14731230345912,94.77627096436059,57.042271984510194,66.4110211572418,68.26452693601301,0.0,0.0,0.0,251.0,255.0,255.0,./data/loaded/43.jpeg
44,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(640, 480, 3)",44.455266927083336,114.89672200520833,169.48894205729167,67.43393061100699,67.78572566431731,75.52269492898468,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/44.jpeg
45,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(164, 177, 3)",240.24645170180514,240.23787377704286,239.52955766845804,40.44468050928386,40.987704929741085,41.55379294845342,9.0,3.0,2.0,255.0,255.0,255.0,./data/loaded/45.jpeg
46,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(145, 200, 3)",154.5638620689655,151.57958620689655,157.01306896551725,75.95364051737774,70.41926860010406,72.1280241215916,0.0,2.0,1.0,255.0,255.0,255.0,./data/loaded/46.jpeg
47,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(240, 189, 3)",176.16446208112876,185.15438712522047,192.86721781305116,99.40413024210999,96.0165469539193,93.39442601509884,2.0,4.0,5.0,255.0,255.0,255.0,./data/loaded/47.jpeg
48,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(474, 653, 3)",62.08324448666008,79.24261926454339,79.44820077409683,54.66875686159158,49.693039643656476,62.330628033880124,0.0,0.0,0.0,255.0,253.0,255.0,./data/loaded/48.jpeg
49,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(458, 600, 3)",166.89355531295487,158.73978165938865,163.37407205240174,46.74070657717477,54.10195791035651,53.44454349592911,0.0,0.0,0.0,255.0,253.0,255.0,./data/loaded/49.jpeg
50,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(240, 160, 3)",188.17041666666665,189.54208333333332,194.7834375,64.59682711049402,63.53446407129274,60.911110325623355,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/50.jpeg
51,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(450, 700, 3)",113.75146666666667,119.90800952380953,120.82932380952381,48.986427690217305,61.392937533743506,66.90254558793664,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/51.jpeg
52,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(278, 278, 3)",216.60632213653537,219.57139899591118,221.37430774804616,79.11724788554854,74.52829450345946,71.83560898324876,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/52.jpeg
53,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(210, 200, 3)",87.66604761904762,99.74866666666667,132.59490476190476,67.74099483008175,68.03051327395275,75.32924710414039,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/53.jpeg
54,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(632, 400, 3)",204.5343789556962,202.82599287974685,222.06254351265824,83.01343563124342,88.39460068121652,65.37386178198467,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/54.jpeg
55,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(616, 770, 3)",87.62078976218586,91.44925788497217,90.67214117051779,46.33270043592245,53.45762131646673,72.91943994768012,0.0,0.0,0.0,252.0,255.0,255.0,./data/loaded/55.jpeg
56,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(1024, 1024, 3)",178.44396781921387,177.8610134124756,182.21981239318848,58.8951304487612,58.45739505651476,53.14192267163126,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/56.jpeg
57,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(600, 900, 3)",229.60933888888889,231.01377037037037,241.73118333333332,56.208936061408636,55.150404310050945,37.17100247016159,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/57.jpeg
58,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(580, 500, 3)",96.87074482758621,146.27185862068964,186.82937586206896,37.777217226474825,56.51647473992241,66.31819182331421,0.0,2.0,2.0,216.0,235.0,249.0,./data/loaded/58.jpeg
59,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(307, 236, 3)",162.83125379561642,172.69624026941975,156.76189753215922,65.15853932453513,51.88937080477514,58.56515188274474,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/59.jpeg
60,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(230, 400, 3)",31.672521739130435,53.34702173913043,63.897630434782606,67.34940525664231,81.61843574936633,98.76517571247264,0.0,0.0,0.0,197.0,190.0,255.0,./data/loaded/60.jpeg
61,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(318, 250, 3)",203.44270440251572,219.39106918238994,225.38237735849057,67.99489289169351,56.31965681837797,53.97080402334936,0.0,12.0,14.0,255.0,255.0,255.0,./data/loaded/61.jpeg
62,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(400, 520, 3)",174.5090528846154,183.93420673076923,189.2732596153846,36.38553699838254,34.39433167039907,34.522587956041185,11.0,9.0,3.0,204.0,210.0,215.0,./data/loaded/62.jpeg
63,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(414, 735, 3)",43.338647342995166,45.130710835058665,51.47436984455618,60.6766936601583,61.054894467017725,62.546234044210905,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/63.jpeg
64,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(233, 236, 3)",113.80903106132247,141.77262311777116,170.80708518222158,59.13459938530195,56.92822466292745,55.1687877338583,0.0,0.0,0.0,207.0,211.0,234.0,./data/loaded/64.jpeg
65,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(863, 1024, 3)",57.495770115150634,89.4462313513905,107.82663243228563,53.00829519141011,65.67870442908398,74.22092918429014,0.0,0.0,0.0,214.0,255.0,255.0,./data/loaded/65.jpeg
66,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(479, 402, 3)",207.96612968560123,211.15736037972974,217.84521027430696,63.941949885424876,62.0123920456555,56.804998110278724,10.0,11.0,15.0,255.0,255.0,255.0,./data/loaded/66.jpeg
67,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(433, 816, 3)",202.89774090929674,217.3054583842775,232.18276502286827,38.74220250412004,38.918960291072985,38.56252431441885,5.0,24.0,36.0,237.0,242.0,255.0,./data/loaded/67.jpeg
68,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(298, 236, 3)",211.05306563530883,207.5455437379138,208.21613013309067,64.28310019998099,68.09972042453877,75.47676458435602,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/68.jpeg
69,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(278, 278, 3)",13.643212049065783,15.142578023911806,15.079900108690026,51.784504978464504,54.36730202031265,54.63137778562912,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/69.jpeg
70,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(958, 640, 3)",137.68190566283926,149.9787105297495,162.70547201200418,85.25461053227804,74.1828030501613,74.29454083810724,4.0,5.0,6.0,254.0,250.0,246.0,./data/loaded/70.jpeg
71,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(1696, 1132, 3)",196.46758117207813,191.05117268234548,192.0008604740316,70.17977310511101,66.37423357418774,65.4270930468406,0.0,6.0,3.0,255.0,255.0,255.0,./data/loaded/71.jpeg
72,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(474, 474, 3)",117.47108280368175,121.08210044686571,130.69477380761631,62.881643386542656,68.24421649258706,64.60966704565874,10.0,14.0,9.0,255.0,255.0,255.0,./data/loaded/72.jpeg
73,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(614, 614, 3)",186.51916200702394,196.4959919999151,205.36661131683096,60.05393081245183,50.095470741138904,51.5546221830192,0.0,0.0,3.0,255.0,255.0,255.0,./data/loaded/73.jpeg
74,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(525, 350, 3)",152.9787537414966,163.05266394557822,176.31241360544217,83.76774828057552,83.2325642502915,77.45187994221104,0.0,0.0,7.0,255.0,255.0,255.0,./data/loaded/74.jpeg
75,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(200, 200, 3)",141.86375,151.3249,180.79745,58.909676080738215,62.484824077451,56.13108161702837,0.0,0.0,6.0,255.0,255.0,255.0,./data/loaded/75.jpeg
76,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(693, 1000, 3)",209.25236652236651,209.25236652236651,209.25236652236651,58.733104741054426,58.733104741054426,58.733104741054426,0.0,0.0,0.0,250.0,250.0,250.0,./data/loaded/76.jpeg
77,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(236, 236, 3)",234.8800632002298,236.87950660729675,238.15417624245907,54.35649717586789,51.17537629617995,49.80514262155607,0.0,2.0,6.0,255.0,255.0,255.0,./data/loaded/77.jpeg
78,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(724, 1086, 3)",51.86841442568908,60.80466102988309,73.16549911988848,34.888830320638924,44.51994620473807,56.04881331206011,0.0,0.0,0.0,235.0,249.0,255.0,./data/loaded/78.jpeg
79,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(353, 236, 3)",206.3944999279781,206.90945647476832,214.76538867815816,82.9888170347021,80.90190843530186,72.35912942205866,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/79.jpeg
80,Bharadvaja's Twist Pose,Bharadvajasana 1,Legs-Behind,Sitting,"(297, 370, 3)",155.05904085904086,144.47547547547546,138.806825006825,42.73860439893604,43.897923273498556,50.94507410790472,0.0,0.0,0.0,255.0,251.0,255.0,./data/loaded/80.jpeg
81,Boat Pose,Paripurna Navasana,Others,Wheel,"(300, 300, 3)",102.86747777777778,106.1159888888889,109.62988888888889,49.09578601598393,51.231922577842994,53.426820522082025,0.0,0.0,0.0,248.0,246.0,255.0,./data/loaded/81.jpeg
82,Boat Pose,Paripurna Navasana,Others,Wheel,"(480, 640, 3)",93.27139973958333,117.87824869791666,145.286533203125,51.04109628671884,62.00532808133997,68.32294096901713,0.0,0.0,0.0,224.0,238.0,255.0,./data/loaded/82.jpeg
83,Boat Pose,Paripurna Navasana,Others,Wheel,"(332, 450, 3)",102.82578982597055,92.99283801874164,79.86131860776439,57.977059629810576,54.36681873620942,62.557141838869384,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/83.jpeg
84,Boat Pose,Paripurna Navasana,Others,Wheel,"(481, 723, 3)",155.01308074752058,130.59026405914372,106.58857037695212,56.69895664837623,50.837818418275226,45.348475858627914,1.0,1.0,1.0,218.0,226.0,239.0,./data/loaded/84.jpeg
85,Boat Pose,Paripurna Navasana,Others,Wheel,"(321, 450, 3)",189.9214468674282,180.25858774662512,171.00554517133958,55.03407520273774,60.12929325245565,78.51239032668722,14.0,10.0,0.0,255.0,255.0,255.0,./data/loaded/85.jpeg
86,Boat Pose,Paripurna Navasana,Others,Wheel,"(540, 347, 3)",132.67288397907996,124.04326502294802,113.22271320311665,66.154578972657,65.62394231648803,69.37974227180464,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/86.jpeg
87,Boat Pose,Paripurna Navasana,Others,Wheel,"(470, 450, 3)",118.00108747044918,121.25478486997636,125.37064302600473,59.893590501944125,70.4669665716798,76.08355702615384,5.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/87.jpeg
88,Boat Pose,Paripurna Navasana,Others,Wheel,"(267, 400, 3)",157.61955992509363,155.57675093632957,160.50001872659175,50.158071420712396,49.355419207762004,47.51020450213676,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/88.jpeg
89,Boat Pose,Paripurna Navasana,Others,Wheel,"(240, 170, 3)",191.64676470588236,198.15470588235294,216.4645343137255,94.84959522856737,90.99134971497406,74.14734183373417,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/89.jpeg
90,Boat Pose,Paripurna Navasana,Others,Wheel,"(319, 602, 3)",188.2456232620627,163.18542163530134,154.6166852393797,91.92604800816967,74.66218011340862,61.26730014600141,0.0,0.0,0.0,255.0,250.0,255.0,./data/loaded/90.jpeg
91,Boat Pose,Paripurna Navasana,Others,Wheel,"(320, 450, 3)",71.65676388888889,150.0883472222222,191.30977083333335,65.4510428367377,88.70988569358167,89.83550558027795,0.0,0.0,8.0,255.0,255.0,255.0,./data/loaded/91.jpeg
92,Boat Pose,Paripurna Navasana,Others,Wheel,"(296, 430, 3)",78.85021998742928,112.0803896920176,111.862012884978,65.17292996147283,73.4319757013978,68.00348143911593,0.0,1.0,3.0,255.0,255.0,255.0,./data/loaded/92.jpeg
93,Boat Pose,Paripurna Navasana,Others,Wheel,"(450, 450, 3)",66.6428987654321,109.55024197530864,161.30133827160495,26.278403275470716,43.32937508065076,63.380978532131465,0.0,0.0,0.0,147.0,168.0,214.0,./data/loaded/93.jpeg
94,Boat Pose,Paripurna Navasana,Others,Wheel,"(320, 450, 3)",194.6500625,203.70079166666667,219.8533402777778,50.40437448632018,54.022272047286584,51.723658197335254,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/94.jpeg
95,Boat Pose,Paripurna Navasana,Others,Wheel,"(414, 736, 3)",236.6047606857803,236.6047606857803,236.6047606857803,62.15768163600003,62.15768163600003,62.15768163600003,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/95.jpeg
96,Boat Pose,Paripurna Navasana,Others,Wheel,"(1400, 1401, 3)",103.43310900377281,106.62476955236056,110.1493147751606,50.49353730958359,52.67771227436041,54.71595167765767,0.0,0.0,0.0,255.0,253.0,249.0,./data/loaded/96.jpeg
97,Boat Pose,Paripurna Navasana,Others,Wheel,"(278, 278, 3)",115.85825009057503,110.48118627400238,84.35435536462916,31.79017316078101,31.879305515322287,38.248102084663365,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/97.jpeg
98,Boat Pose,Paripurna Navasana,Others,Wheel,"(1300, 955, 3)",75.44960209424083,110.76321143777689,129.80811759967781,58.951417034720016,58.29383255421657,56.04572699690875,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/98.jpeg
99,Boat Pose,Paripurna Navasana,Others,Wheel,"(314, 236, 3)",186.6868859980568,193.19375472309187,196.28460002159127,92.99890909837441,96.1659248817219,95.82741953529582,0.0,0.0,0.0,255.0,255.0,255.0,./data/loaded/99.jpeg
100,Boat Pose,Paripurna Navasana,Others,Wheel,"(200, 300, 3)",219.14521666666667,211.41996666666665,215.14588333333333,50.99052489224237,61.440108463436886,53.34924055741614,0.0,0.0,0.0,255.0,254.0,255.0,./data/loaded/100.jpeg
